Player,Pos,Team,Conf,Year,G,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Xavier Restrepo,WR,Miami Hurricanes ,ACC,2023,13,85,1092,12.8,6,0,0,,0,85,1092,12.8,6
Brock Bowers,TE,Georgia Bulldogs ,SEC,2023,10,56,714,12.8,6,6,28,4.7,1,62,742,12,7
Moose Muhammad III,WR,Texas A&M Aggies ,SEC,2023,12,27,345,12.8,2,0,0,,0,27,345,12.8,2
Isaiah Washington,WR,Rutgers Scarlet Knights ,Big Ten,2023,13,25,321,12.8,1,0,0,,0,25,321,12.8,1
Keandre Lambert-Smith,WR,Penn State Nittany Lions ,Big Ten,2023,13,53,673,12.7,4,2,0,0,0,55,673,12.2,4
Kole Taylor,TE,West Virginia Mountaineers ,Big 12,2023,13,35,444,12.7,4,0,0,,0,35,444,12.7,4
Jaden Bray,WR,Oklahoma State Cowboys ,Big 12,2023,10,30,382,12.7,2,1,-5,-5,0,31,377,12.2,2
Emeka Egbuka,WR,Ohio State Buckeyes ,Big Ten,2023,10,41,515,12.6,4,5,25,5,0,46,540,11.7,4
Zavion Thomas,WR,Mississippi State Bulldogs ,SEC,2023,11,40,503,12.6,1,12,23,1.9,0,52,526,10.1,1
Darius Lassiter,WR,Brigham Young Cougars ,Big 12,2023,10,29,365,12.6,4,1,5,5,0,30,370,12.3,4
Benjamin Brahmer,TE,Iowa State Cyclones ,Big 12,2023,13,28,352,12.6,2,0,0,,0,28,352,12.6,2
Joseph Manjack IV,WR,Houston Cougars ,Big 12,2023,10,46,577,12.5,6,2,-3,-1.5,0,48,574,12,6
Barion Brown,WR,Kentucky Wildcats ,SEC,2023,13,43,539,12.5,4,12,147,12.3,1,55,686,12.5,5
Jaylin Noel,WR,Iowa State Cyclones ,Big 12,2023,12,66,820,12.4,7,1,-1,-1,0,67,819,12.2,7
Lewis Bond,WR,Boston College Eagles ,ACC,2023,13,52,646,12.4,7,1,2,2,0,53,648,12.2,7
Mookie Cooper,WR,Missouri Tigers ,SEC,2023,13,36,447,12.4,0,1,3,3,0,37,450,12.2,0
Isaac Rex,TE,Brigham Young Cougars ,Big 12,2023,12,34,422,12.4,3,0,0,,0,34,422,12.4,3
Tyler Warren,TE,Penn State Nittany Lions ,Big Ten,2023,13,34,422,12.4,7,0,0,,0,34,422,12.4,7
Jaylon Robinson,WR,TCU Horned Frogs ,Big 12,2023,10,32,397,12.4,1,2,-2,-1,0,34,395,11.6,1
Noah Thomas,WR,Texas A&M Aggies ,SEC,2023,11,29,359,12.4,5,0,0,,0,29,359,12.4,5
Christian Leary,WR,Georgia Tech Yellow Jackets ,ACC,2023,13,25,309,12.4,2,2,-2,-1,0,27,307,11.4,2
Dillon Bell,WR,Georgia Bulldogs ,SEC,2023,14,29,355,12.2,2,25,157,6.3,2,54,512,9.5,4
E.J. Williams,WR,Indiana Hoosiers ,Big Ten,2023,8,23,281,12.2,0,0,0,,0,23,281,12.2,0
Squirrel White,,Tennessee Volunteers ,SEC,2023,13,67,803,12,2,2,13,6.5,0,69,816,11.8,2
Colbie Young,WR,Miami Hurricanes ,ACC,2023,12,47,563,12,5,0,0,,0,47,563,12,5
Jordan Whittington,WR,Texas Longhorns ,Big 12,2023,14,42,505,12,1,3,18,6,0,45,523,11.6,1
Jerand Bradley,,Texas Tech Red Raiders ,Big 12,2023,12,36,431,12,4,0,0,,0,36,431,12,4
TJ Sheffield,WR,Purdue Boilermakers ,Big Ten,2023,11,32,381,11.9,2,0,0,,0,32,381,11.9,2
Donovan Brown,WR,Syracuse Orange ,ACC,2023,13,27,321,11.9,1,1,-3,-3,0,28,318,11.4,1
Kevin Concepcion,WR,NC State Wolfpack ,ACC,2023,13,71,839,11.8,10,41,320,7.8,0,112,1159,10.3,10
Nicholas Singleton,RB,Penn State Nittany Lions ,Big Ten,2023,13,26,308,11.8,2,171,752,4.4,8,197,1060,5.4,10
John Paul Richardson,WR,TCU Horned Frogs ,Big 12,2023,12,46,536,11.7,3,3,12,4,0,49,548,11.2,3
Maliq Carr,TE,Michigan State Spartans ,Big Ten,2023,10,30,352,11.7,3,0,0,,0,30,352,11.7,3
Coy Eakin,WR,Texas Tech Red Raiders ,Big 12,2023,10,36,416,11.6,2,1,-1,-1,0,37,415,11.2,2
Drake Stoops,WR,Oklahoma Sooners ,Big 12,2023,13,84,962,11.5,10,4,8,2,0,88,970,11,10
Stephon Johnson Jr.,WR,Houston Cougars ,Big 12,2023,12,24,277,11.5,3,1,13,13,0,25,290,11.6,3
Dominic Lovett,WR,Georgia Bulldogs ,SEC,2023,14,54,613,11.4,4,0,0,,0,54,613,11.4,4
Will Pauling,WR,Wisconsin Badgers ,Big Ten,2023,13,74,837,11.3,6,1,11,11,0,75,848,11.3,6
Daejon Reynolds,WR,Pittsburgh Panthers ,ACC,2023,12,28,316,11.3,0,1,1,1,0,29,317,10.9,0
Chamon Metayer,TE,Cincinnati Bearcats ,Big 12,2023,11,23,258,11.2,5,1,27,27,0,24,285,11.9,5
Jahmal Banks,WR,Wake Forest Demon Deacons ,ACC,2023,12,59,653,11.1,4,1,7,7,0,60,660,11,4
Phillip Brooks,WR,Kansas State Wildcats ,Big 12,2023,12,53,589,11.1,5,7,33,4.7,1,60,622,10.4,6
Jared Wiley,TE,TCU Horned Frogs ,Big 12,2023,12,47,520,11.1,8,0,0,,0,47,520,11.1,8
DJ Giddens,RB,Kansas State Wildcats ,Big 12,2023,13,29,323,11.1,3,223,1226,5.5,10,252,1549,6.1,13
Arlis Boardingham,TE,Florida Gators ,SEC,2023,12,26,289,11.1,4,0,0,,0,26,289,11.1,4
Malik Rutherford,WR,Georgia Tech Yellow Jackets ,ACC,2023,13,46,502,10.9,4,3,17,5.7,0,49,519,10.6,4
Nate McCollum,WR,North Carolina Tar Heels ,ACC,2023,10,44,469,10.7,1,0,0,,0,44,469,10.7,1
Matthew Golden,WR,Houston Cougars ,Big 12,2023,9,38,404,10.6,6,0,0,,0,38,404,10.6,6
Jayden McGowan,WR,Vanderbilt Commodores ,SEC,2023,12,36,383,10.6,0,18,109,6.1,0,54,492,9.1,0
Jay Fair,WR,Auburn Tigers ,SEC,2023,13,31,324,10.5,2,0,0,,0,31,324,10.5,2
Rivaldo Fairweather,TE,Auburn Tigers ,SEC,2023,13,38,394,10.4,6,0,0,,0,38,394,10.4,6
Julian Fleming,WR,Ohio State Buckeyes ,Big Ten,2023,12,26,270,10.4,0,0,0,,0,26,270,10.4,0
Thomas Fidone III,,Nebraska Cornhuskers ,Big Ten,2023,12,25,260,10.4,4,0,0,,0,25,260,10.4,4
Isaac TeSlaa,WR,Arkansas Razorbacks ,SEC,2023,12,34,351,10.3,2,1,0,0,0,35,351,10,2
Tre Mosley,WR,Michigan State Spartans ,Big Ten,2023,8,28,288,10.3,2,0,0,,0,28,288,10.3,2
Tyler Brown,WR,Clemson Tigers ,ACC,2023,13,52,531,10.2,4,2,41,20.5,0,54,572,10.6,4
Ahmarean Brown,WR,South Carolina Gamecocks ,SEC,2023,9,26,265,10.2,1,2,0,0,0,28,265,9.5,1
Ke'Shawn Williams,WR,Wake Forest Demon Deacons ,ACC,2023,11,38,384,10.1,1,3,29,9.7,1,41,413,10.1,2
Jake Briningstool,TE,Clemson Tigers ,ACC,2023,13,50,498,10,5,0,0,,0,50,498,10,5
Corey Dyches,,Maryland Terrapins ,Big Ten,2023,11,49,491,10,2,0,0,,0,49,491,10,2
Theo Johnson,TE,Penn State Nittany Lions ,Big Ten,2023,13,34,341,10,7,0,0,,0,34,341,10,7
Jake Roberts,TE,Baylor Bears ,Big 12,2023,12,23,231,10,1,0,0,,0,23,231,10,1
Brennan Presley,WR,Oklahoma State Cowboys ,Big 12,2023,14,101,991,9.8,6,11,41,3.7,2,112,1032,9.2,8
Xavier Townsend,,UCF Knights ,Big 12,2023,11,33,325,9.8,3,15,163,10.9,0,48,488,10.2,3
Re'Mahn Davis,RB,Kentucky Wildcats ,SEC,2023,13,33,323,9.8,7,199,1129,5.7,14,232,1452,6.3,21
Mason Taylor,TE,LSU Tigers ,SEC,2023,12,36,348,9.7,1,0,0,,0,36,348,9.7,1
Brevyn Spann-Ford,TE,Minnesota Golden Gophers ,Big Ten,2023,12,25,239,9.6,2,0,0,,0,25,239,9.6,2
Myles Price,,Texas Tech Red Raiders ,Big 12,2023,10,43,410,9.5,5,0,0,,0,43,410,9.5,5
A.J. Henning,WR,Northwestern Wildcats ,Big Ten,2023,12,45,418,9.3,4,27,110,4.1,1,72,528,7.3,5
Roman Hemby,RB,Maryland Terrapins ,Big Ten,2023,13,38,349,9.2,3,142,680,4.8,4,180,1029,5.7,7
Joshua Simon,TE,South Carolina Gamecocks ,SEC,2023,12,28,256,9.1,2,0,0,,0,28,256,9.1,2
Billy Kemp,WR,Nebraska Cornhuskers ,Big Ten,2023,11,35,310,8.9,1,3,13,4.3,1,38,323,8.5,2
Bhayshul Tuten,RB,Virginia Tech Hokies ,ACC,2023,13,27,239,8.9,2,173,863,5,10,200,1102,5.5,12
Eugene Wilson III,WR,Florida Gators ,SEC,2023,10,61,538,8.8,6,6,55,9.2,0,67,593,8.9,6
Drae McCray,WR,Texas Tech Red Raiders ,Big 12,2023,13,29,255,8.8,2,1,4,4,0,30,259,8.6,2
Keyon Lesane,WR,NC State Wolfpack ,ACC,2023,13,28,247,8.8,0,4,31,7.8,0,32,278,8.7,0
Shamir Hagans,,Duke Blue Devils ,ACC,2023,13,30,260,8.7,0,0,0,,0,30,260,8.7,0
Devin Neal,RB,Kansas Jayhawks ,Big 12,2023,13,25,217,8.7,1,203,1280,6.3,16,228,1497,6.6,17
Ollie Gordon,RB,Oklahoma State Cowboys ,Big 12,2023,14,39,330,8.5,1,285,1732,6.1,21,324,2062,6.4,22
Troy Stellato,WR,Clemson Tigers ,ACC,2023,12,38,321,8.4,1,0,0,,0,38,321,8.4,1
Trey Knox,TE,South Carolina Gamecocks ,SEC,2023,10,37,312,8.4,2,0,0,,0,37,312,8.4,2
Donovan Edwards,RB,Michigan Wolverines ,Big Ten,2023,15,30,249,8.3,0,119,497,4.2,5,149,746,5,5
Nico Ragaini,WR,Iowa Hawkeyes ,Big Ten,2023,14,31,255,8.2,0,3,-4,-1.3,0,34,251,7.4,0
Garrett Miller,TE,Purdue Boilermakers ,Big Ten,2023,11,30,243,8.1,2,0,0,,0,30,243,8.1,2
Tyrell Henry,WR,Michigan State Spartans ,Big Ten,2023,12,24,195,8.1,3,0,0,,0,24,195,8.1,3
Will Shipley,RB,Clemson Tigers ,ACC,2023,12,31,244,7.9,2,167,827,5,5,198,1071,5.4,7
Montrell Johnson,RB,Florida Gators ,SEC,2023,12,30,236,7.9,1,152,817,5.4,5,182,1053,5.8,6
Skyler Bell,WR,Wisconsin Badgers ,Big Ten,2023,12,38,296,7.8,1,0,0,,0,38,296,7.8,1
Omarion Hampton,RB,North Carolina Tar Heels ,ACC,2023,13,29,222,7.7,1,253,1504,5.9,15,282,1726,6.1,16
Dawson Pendergrass,RB,Baylor Bears ,Big 12,2023,11,26,199,7.7,2,79,338,4.3,5,105,537,5.1,7
Emani Bailey,RB,TCU Horned Frogs ,Big 12,2023,12,25,184,7.4,1,223,1209,5.4,8,248,1393,5.6,9
Jaylin Lucas,RB,Indiana Hoosiers ,Big Ten,2023,12,34,247,7.3,2,67,275,4.1,2,101,522,5.2,4
Jo'quavious Marks,RB,Mississippi State Bulldogs ,SEC,2023,9,23,167,7.3,2,121,573,4.7,4,144,740,5.1,6
Addison Ostrenga,TE,Iowa Hawkeyes ,Big Ten,2023,12,31,192,6.2,2,0,0,,0,31,192,6.2,2
LeQuint Allen,RB,Syracuse Orange ,ACC,2023,13,38,210,5.5,1,245,1064,4.3,9,283,1274,4.5,10
Braelon Allen,RB,Wisconsin Badgers ,Big Ten,2023,11,28,132,4.7,0,181,984,5.4,12,209,1116,5.3,12
Tahj Brooks,RB,Texas Tech Red Raiders ,Big 12,2023,13,29,72,2.5,0,290,1538,5.3,10,319,1610,5,10
