Player,School,Conf,Year,G,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Jake Briningstool*,Clemson,ACC,2023,13,50,498,10.0,5,0,0,,0,50,498,10.0,5
Corey Dyches*,Maryland,Big Ten,2023,11,49,491,10.0,2,0,0,,0,49,491,10.0,2
Theo Johnson*,Penn State,Big Ten,2023,13,34,341,10.0,7,0,0,,0,34,341,10.0,7
Jake Roberts,Baylor,Big 12,2023,12,23,231,10.0,1,0,0,,0,23,231,10.0,1
Brennan Presley*,Oklahoma State,Big 12,2023,14,101,991,9.8,6,11,41,3.7,2,112,1032,9.2,8
Xavier Townsend*,UCF,Big 12,2023,11,33,325,9.8,3,15,163,10.9,0,48,488,10.2,3
Re'Mahn Davis*,Kentucky,SEC,2023,13,33,323,9.8,7,199,1129,5.7,14,232,1452,6.3,21
Mason Taylor*,LSU,SEC,2023,12,36,348,9.7,1,0,0,,0,36,348,9.7,1
Brevyn Spann-Ford*,Minnesota,Big Ten,2023,12,25,239,9.6,2,0,0,,0,25,239,9.6,2
Myles Price*,Texas Tech,Big 12,2023,10,43,410,9.5,5,0,0,,0,43,410,9.5,5
A.J. Henning*,Northwestern,Big Ten,2023,12,45,418,9.3,4,27,110,4.1,1,72,528,7.3,5
Roman Hemby*,Maryland,Big Ten,2023,13,38,349,9.2,3,142,680,4.8,4,180,1029,5.7,7
Joshua Simon,South Carolina,SEC,2023,12,28,256,9.1,2,0,0,,0,28,256,9.1,2
Billy Kemp,Nebraska,Big Ten,2023,11,35,310,8.9,1,3,13,4.3,1,38,323,8.5,2
Bhayshul Tuten*,Virginia Tech,ACC,2023,13,27,239,8.9,2,173,863,5.0,10,200,1102,5.5,12
Eugene Wilson III,Florida,SEC,2023,10,61,538,8.8,6,6,55,9.2,0,67,593,8.9,6
Drae McCray*,Texas Tech,Big 12,2023,13,29,255,8.8,2,1,4,4.0,0,30,259,8.6,2
Keyon Lesane*,North Carolina State,ACC,2023,13,28,247,8.8,0,4,31,7.8,0,32,278,8.7,0
Shamir Hagans*,Duke,ACC,2023,13,30,260,8.7,0,0,0,,0,30,260,8.7,0
Devin Neal*,Kansas,Big 12,2023,13,25,217,8.7,1,203,1280,6.3,16,228,1497,6.6,17
Ollie Gordon*,Oklahoma State,Big 12,2023,14,39,330,8.5,1,285,1732,6.1,21,324,2062,6.4,22
Troy Stellato*,Clemson,ACC,2023,12,38,321,8.4,1,0,0,,0,38,321,8.4,1
Trey Knox,South Carolina,SEC,2023,10,37,312,8.4,2,0,0,,0,37,312,8.4,2
Donovan Edwards*,Michigan,Big Ten,2023,15,30,249,8.3,0,119,497,4.2,5,149,746,5.0,5
Nico Ragaini*,Iowa,Big Ten,2023,14,31,255,8.2,0,3,-4,-1.3,0,34,251,7.4,0
Garrett Miller,Purdue,Big Ten,2023,11,30,243,8.1,2,0,0,,0,30,243,8.1,2
Tyrell Henry,Michigan State,Big Ten,2023,12,24,195,8.1,3,0,0,,0,24,195,8.1,3
Will Shipley*,Clemson,ACC,2023,12,31,244,7.9,2,167,827,5.0,5,198,1071,5.4,7
Montrell Johnson,Florida,SEC,2023,12,30,236,7.9,1,152,817,5.4,5,182,1053,5.8,6
Skyler Bell*,Wisconsin,Big Ten,2023,12,38,296,7.8,1,0,0,,0,38,296,7.8,1
Omarion Hampton*,North Carolina,ACC,2023,13,29,222,7.7,1,253,1504,5.9,15,282,1726,6.1,16
Dawson Pendergrass,Baylor,Big 12,2023,11,26,199,7.7,2,79,338,4.3,5,105,537,5.1,7
Emani Bailey,TCU,Big 12,2023,12,25,184,7.4,1,223,1209,5.4,8,248,1393,5.6,9
Jaylin Lucas,Indiana,Big Ten,2023,12,34,247,7.3,2,67,275,4.1,2,101,522,5.2,4
Jo'quavious Marks,Mississippi State,SEC,2023,9,23,167,7.3,2,121,573,4.7,4,144,740,5.1,6
Addison Ostrenga*,Iowa,Big Ten,2023,12,31,192,6.2,2,0,0,,0,31,192,6.2,2
LeQuint Allen*,Syracuse,ACC,2023,13,38,210,5.5,1,245,1064,4.3,9,283,1274,4.5,10
Braelon Allen*,Wisconsin,Big Ten,2023,11,28,132,4.7,0,181,984,5.4,12,209,1116,5.3,12
Tahj Brooks*,Texas Tech,Big 12,2023,13,29,72,2.5,0,290,1538,5.3,10,319,1610,5.0,10
